ZFIN:ZDB-GENE-030131-1346	hsd17b12b
ZFIN:ZDB-GENE-030131-1329	st6galnac3
ZFIN:ZDB-GENE-030131-1325	chpt1
ZFIN:ZDB-GENE-030131-8039	bco2a
UniProtKB:E7EXS7	si:dkey-177p2.18
UniProtKB:E7F9N8	LOC568883
ZFIN:ZDB-GENE-040426-1393	pigm
ZFIN:ZDB-GENE-040426-1361	lipca
ZFIN:ZDB-GENE-040419-2	mttp
ZFIN:ZDB-GENE-040426-1355	zgc:64065
ZFIN:ZDB-GENE-040426-1339	hsd17b3
ZFIN:ZDB-GENE-061027-74	abhd2b
ZFIN:ZDB-GENE-060526-248	pip5kl1
ZFIN:ZDB-GENE-060526-241	plpp3
ZFIN:ZDB-GENE-030131-1280	pik3r1
ZFIN:ZDB-GENE-031222-5	hadhaa
ZFIN:ZDB-GENE-030131-1249	dhrs9
UniProtKB:E7F973	abcd2
ZFIN:ZDB-GENE-030131-1201	cel.1
UniProtKB:A0A0R4IXS7	LOC100536464
ZFIN:ZDB-GENE-030328-39	pik3c2a
ZFIN:ZDB-GENE-030328-21	etnk1
ZFIN:ZDB-GENE-040426-1296	cyp7a1
ZFIN:ZDB-GENE-060623-19	alox5b.2
ZFIN:ZDB-GENE-040213-2	cyp17a1
ZFIN:ZDB-GENE-040426-1224	cyp46a1.4
ZFIN:ZDB-GENE-041114-206	slc7a3a
ZFIN:ZDB-GENE-041114-201	sgms1a
ZFIN:ZDB-GENE-060331-113	ormdl2
UniProtKB:E7F890	plpp2a
UniProtKB:E7F883	fam135b
ZFIN:ZDB-GENE-051030-99	tamm41
ZFIN:ZDB-GENE-090313-227	si:dkey-205h13.1
ZFIN:ZDB-GENE-090313-216	pgap1
ZFIN:ZDB-GENE-040426-1191	bco1l
ZFIN:ZDB-GENE-040426-1184	cyp46a1.2
ZFIN:ZDB-GENE-091117-4	inpp5ja
ZFIN:ZDB-GENE-040426-1171	plppr2a
ZFIN:ZDB-GENE-040426-1156	enpp2
ZFIN:ZDB-GENE-030616-594	plcb3
ZFIN:ZDB-GENE-040426-1128	pik3cd
ZFIN:ZDB-GENE-040426-1117	gbgt1l1
ZFIN:ZDB-GENE-030616-542	ebpl
ZFIN:ZDB-GENE-030616-529	ormdl1
ZFIN:ZDB-GENE-041114-134	dhrs13a.3
ZFIN:ZDB-GENE-041114-127	mvda
ZFIN:ZDB-GENE-041114-124	acot19
ZFIN:ZDB-GENE-030131-1074	apoc1
ZFIN:ZDB-GENE-030131-1060	cyp27a1.4
ZFIN:ZDB-GENE-030131-1050	ephx5
ZFIN:ZDB-GENE-090313-194	plcl1
ZFIN:ZDB-GENE-170327-2	pik3c2g
ZFIN:ZDB-GENE-040426-1086	piga
ZFIN:ZDB-GENE-040426-1063	ptgesl
ZFIN:ZDB-GENE-040426-1042	hmgcs1
ZFIN:ZDB-GENE-040426-1026	pafah1b3
ZFIN:ZDB-GENE-070912-149	si:ch211-168k14.2
ZFIN:ZDB-GENE-060906-3	cln8
ZFIN:ZDB-GENE-130530-731	b4galnt2.2
ZFIN:ZDB-GENE-040718-453	faah2a
ZFIN:ZDB-GENE-130530-726	mtmr11
ZFIN:ZDB-GENE-040718-436	gpat3
ZFIN:ZDB-GENE-120514-1	plppr3b
ZFIN:ZDB-GENE-040616-1	serac1
ZFIN:ZDB-GENE-041210-281	sptlc3
ZFIN:ZDB-GENE-041210-257	mboat2a
ZFIN:ZDB-GENE-041210-254	acot18
ZFIN:ZDB-GENE-041210-242	fasn2
ZFIN:ZDB-GENE-041210-210	cerk
ZFIN:ZDB-GENE-041210-203	acot15
ZFIN:ZDB-GENE-041210-202	acot14
ZFIN:ZDB-GENE-041210-201	acot16
ZFIN:ZDB-GENE-050417-199	srd5a2a
ZFIN:ZDB-GENE-050417-195	mppe1
ZFIN:ZDB-GENE-050417-182	srd5a2b
ZFIN:ZDB-GENE-050417-163	nsdhl
ZFIN:ZDB-GENE-050417-162	zgc:112023
ZFIN:ZDB-GENE-050417-155	cpt1a2b
UniProtKB:E7F166	socs6a
ZFIN:ZDB-GENE-050417-108	pcyt1aa
ZFIN:ZDB-GENE-050522-538	acot11a
ZFIN:ZDB-GENE-050522-518	mtmr1a
ZFIN:ZDB-GENE-050522-517	pip5k1aa
ZFIN:ZDB-GENE-021115-3	rdh8a
ZFIN:ZDB-GENE-041210-171	socs2
ZFIN:ZDB-GENE-041210-169	pparaa
ZFIN:ZDB-GENE-050119-7	lss
UniProtKB:E7F070	abhd8b
ZFIN:ZDB-GENE-050522-484	amacr
ZFIN:ZDB-GENE-050522-464	cyp46a1.1
ZFIN:ZDB-GENE-050522-453	elovl8b
ZFIN:ZDB-GENE-121030-5	plppr2b
ZFIN:ZDB-GENE-081105-87	porcn
ZFIN:ZDB-GENE-081105-47	cept1a
ZFIN:ZDB-GENE-081105-30	hsd3b1
ZFIN:ZDB-GENE-050506-78	fdps
ZFIN:ZDB-GENE-050506-71	ptgr2
ZFIN:ZDB-GENE-050506-60	pigl
ZFIN:ZDB-GENE-040808-68	acat1
ZFIN:ZDB-GENE-040808-64	acads
ZFIN:ZDB-GENE-040808-53	cyp8b1
ZFIN:ZDB-GENE-061013-742	soat2
ZFIN:ZDB-GENE-050706-104	slc27a2a
ZFIN:ZDB-GENE-030131-4600	dgat1a
ZFIN:ZDB-GENE-040912-90	abhd3
ZFIN:ZDB-GENE-040912-82	vac14
ZFIN:ZDB-GENE-040912-69	dhrs13a.2
ZFIN:ZDB-GENE-091204-137	selenoi
ZFIN:ZDB-GENE-040912-56	sc5d
ZFIN:ZDB-GENE-040912-46	gbgt1l3
ZFIN:ZDB-GENE-040912-42	acot7
ZFIN:ZDB-GENE-030131-6053	hacd2
ZFIN:ZDB-GENE-040912-25	st6galnac5b
UniProtKB:A0A0G2KRU2	LOC101884800
ZFIN:ZDB-GENE-030131-6033	eci1
ZFIN:ZDB-GENE-030131-6030	hsd11b2
ZFIN:ZDB-GENE-030131-6028	gdpd5b
ZFIN:ZDB-GENE-010507-2	clic3
ZFIN:ZDB-GENE-050417-373	gm2a
ZFIN:ZDB-GENE-030131-6009	itpkca
ZFIN:ZDB-GENE-990714-22	acat2
ZFIN:ZDB-GENE-041014-166	itpkb
ZFIN:ZDB-GENE-060216-4	pld2
ZFIN:ZDB-GENE-050907-1	cish
ZFIN:ZDB-GENE-110310-8	alg10
ZFIN:ZDB-GENE-040724-13	enpp7.1
UniProtKB:A0A2R8QBC9	abhd8b
ZFIN:ZDB-GENE-070410-18	pla2g12a
ZFIN:ZDB-GENE-110719-2	cers4b
ZFIN:ZDB-GENE-070620-1	plcd3a
ZFIN:ZDB-GENE-000112-47	ppardb
ZFIN:ZDB-GENE-060421-5612	elovl2
ZFIN:ZDB-GENE-091204-436	gdpd4a
UniProtKB:A0A2R8QA86	acsf3
ZFIN:ZDB-GENE-081105-39	dgkg
ZFIN:ZDB-GENE-081031-51	lpin1b
ZFIN:ZDB-GENE-050809-115	acsl1a
ZFIN:ZDB-GENE-081031-18	ptdss1b
ZFIN:ZDB-GENE-030131-9532	plcg2
ZFIN:ZDB-GENE-070705-78	cds1
ZFIN:ZDB-GENE-040426-2868	abcd3a
ZFIN:ZDB-GENE-091204-80	pigo
UniProtKB:Q7ZUS9	etfa
ZFIN:ZDB-GENE-100408-3	inpp5kb
ZFIN:ZDB-GENE-030131-2714	pigc
UniProtKB:A0A0G2KI30	A0A0G2KI30
ZFIN:ZDB-GENE-040426-2074	acbd4
ZFIN:ZDB-GENE-050306-28	fitm1l
ZFIN:ZDB-GENE-080204-125	socs7
ZFIN:ZDB-GENE-040426-2771	pla2g12b
ZFIN:ZDB-GENE-040426-2755	elovl1b
ZFIN:ZDB-GENE-040724-247	plpp6
ZFIN:ZDB-GENE-040426-2737	lipf
ZFIN:ZDB-GENE-040724-223	mtmr9
ZFIN:ZDB-GENE-060519-2	hao1
ZFIN:ZDB-GENE-010906-1	ache
ZFIN:ZDB-GENE-010508-1	bco1
ZFIN:ZDB-GENE-040426-2675	pi4k2a
ZFIN:ZDB-GENE-040426-2672	smpd4
ZFIN:ZDB-GENE-040426-2670	msmo1
UniProtKB:A8E7C5	inpp5f
ZFIN:ZDB-GENE-040801-217	dhrs3a
ZFIN:ZDB-GENE-040801-205	socs1a
ZFIN:ZDB-GENE-070105-3	ttc7b
ZFIN:ZDB-GENE-030616-116	itpka
ZFIN:ZDB-GENE-070720-4	socs4
ZFIN:ZDB-GENE-061013-637	pm20d1.2
ZFIN:ZDB-GENE-040801-162	sgms2b
UniProtKB:A0A0G2KML7	LOC103910030
ZFIN:ZDB-GENE-040801-115	dpm1
UniProtKB:A0A0G2L0Q2	hacd1
ZFIN:ZDB-GENE-030131-9885	ugcg
ZFIN:ZDB-GENE-020108-1	psap
ZFIN:ZDB-GENE-080130-1	fam135a
ZFIN:ZDB-GENE-110411-277	abhd5b
ZFIN:ZDB-GENE-050420-181	acsl3a
ZFIN:ZDB-GENE-070705-554	apobb.2
ZFIN:ZDB-GENE-110411-228	inpp5b
ZFIN:ZDB-GENE-110411-222	smpd1
ZFIN:ZDB-GENE-110407-17	acot22
ZFIN:ZDB-GENE-100921-77	si:dkey-152b24.7
ZFIN:ZDB-GENE-061110-22	smpd5
ZFIN:ZDB-GENE-061110-49	gk5
ZFIN:ZDB-GENE-030131-9793	pigq
ZFIN:ZDB-GENE-121116-1	pigv
ZFIN:ZDB-GENE-060312-5	inpp4aa
ZFIN:ZDB-GENE-081222-2	plcd3b
ZFIN:ZDB-GENE-030131-9732	apobb.1
ZFIN:ZDB-GENE-130531-2	enpp7.2
UniProtKB:A0A0G2KKM6	A0A0G2KKM6
ZFIN:ZDB-GENE-110411-126	rft1
ZFIN:ZDB-GENE-030717-4	cds2
ZFIN:ZDB-GENE-060228-6	cubn
ZFIN:ZDB-GENE-060322-1	st3gal5
ZFIN:ZDB-GENE-030131-2928	chkb
ZFIN:ZDB-GENE-030131-2908	cyp26b1
ZFIN:ZDB-GENE-030131-2906	lpgat1
ZFIN:ZDB-GENE-030131-9636	pikfyve
UniProtKB:A0A2R8PZV0	si:ch73-139e5.2
ZFIN:ZDB-GENE-010601-2	abhd16a
ZFIN:ZDB-GENE-060825-27	slc27a6
ZFIN:ZDB-GENE-070510-3	pld1b
ZFIN:ZDB-GENE-131127-570	si:ch1073-145m9.1
ZFIN:ZDB-GENE-131127-533	gal3st2
ZFIN:ZDB-GENE-030804-27	sult1st2
ZFIN:ZDB-GENE-030131-6121	insig1
UniProtKB:E7FGN6	pnpla2
ZFIN:ZDB-GENE-100922-225	sphk2
ZFIN:ZDB-GENE-061103-295	sgms1b
ZFIN:ZDB-GENE-080228-1	degs2
ZFIN:ZDB-GENE-131127-421	si:dkey-66a8.7
ZFIN:ZDB-GENE-041010-81	pip5k1ba
UniProtKB:E7FFJ7	ggt5b
ZFIN:ZDB-GENE-070912-555	plppr3a
ZFIN:ZDB-GENE-070912-551	apoda.2
ZFIN:ZDB-GENE-130424-2	ptdss2
ZFIN:ZDB-GENE-040822-22	gdpd1
ZFIN:ZDB-GENE-080226-1	ggt5a
UniProtKB:A0A2R8QG70	si:ch211-117n7.6
ZFIN:ZDB-GENE-131127-240	plcxd1
UniProtKB:E7FE54	si:ch73-49o8.1
ZFIN:ZDB-GENE-130320-1	cers3a
ZFIN:ZDB-GENE-030616-75	inppl1b
ZFIN:ZDB-GENE-030131-5485	elovl7b
ZFIN:ZDB-GENE-051014-1	smpd2a
ZFIN:ZDB-GENE-061103-88	cyp4v7
ZFIN:ZDB-GENE-061103-52	mtmr10
ZFIN:ZDB-GENE-050517-30	abcd4
ZFIN:ZDB-GENE-050517-27	abcd1
ZFIN:ZDB-GENE-990415-212	pparda
ZFIN:ZDB-GENE-990415-211	pparab
ZFIN:ZDB-GENE-061103-601	cyp4v8
ZFIN:ZDB-GENE-080327-34	cadm1b
ZFIN:ZDB-GENE-070410-8	srebf2
ZFIN:ZDB-GENE-990415-139	lpl
ZFIN:ZDB-GENE-061103-541	agpat2
ZFIN:ZDB-GENE-061103-511	neu3.3
ZFIN:ZDB-GENE-030131-5283	degs1
ZFIN:ZDB-GENE-090603-1	ccdc57
ZFIN:ZDB-GENE-040426-2612	decr2
ZFIN:ZDB-GENE-131121-270	abhd15a
UniProtKB:A0A2R8Q169	inpp5kb
UniProtKB:A0A2R8QFY7	acsf3
ZFIN:ZDB-GENE-121214-195	pip4p1b
ZFIN:ZDB-GENE-090909-2	aclyb
ZFIN:ZDB-GENE-120709-93	plb1
ZFIN:ZDB-GENE-050208-411	rdh5
UniProtKB:A0A2R8Q067	LOC567728
ZFIN:ZDB-GENE-050208-406	cers1
ZFIN:ZDB-GENE-131121-138	tecrl2a
ZFIN:ZDB-GENE-030131-9435	plcd1b
ZFIN:ZDB-GENE-070112-542	sacm1lb
ZFIN:ZDB-GENE-080225-26	plpp1a
ZFIN:ZDB-GENE-050327-13	erlin1
ZFIN:ZDB-GENE-060810-7	cryl1
ZFIN:ZDB-GENE-050327-61	smpdl3a
ZFIN:ZDB-GENE-031205-1	enpp6
ZFIN:ZDB-GENE-070112-492	zgc:158659
ZFIN:ZDB-GENE-041010-66	elovl1a
ZFIN:ZDB-GENE-051113-312	pip4p1a
ZFIN:ZDB-GENE-050208-290	acp6
ZFIN:ZDB-GENE-030804-28	sult1st3
ZFIN:ZDB-GENE-050506-109	zgc:162634
ZFIN:ZDB-GENE-040421-1	hsd17b4
ZFIN:ZDB-GENE-051113-256	naga
ZFIN:ZDB-GENE-050208-149	chka
ZFIN:ZDB-GENE-030131-5812	alg8
ZFIN:ZDB-GENE-131219-3	alox5b.1
ZFIN:ZDB-GENE-060503-472	gpcpd1
ZFIN:ZDB-GENE-020808-2	cers2a
ZFIN:ZDB-GENE-020808-1	cers4a
